timestamp,title,source,url,market_closed
2016-11-04,Tougher 'dark pool' rules trigger race for alternative venues,By Reuters,https://www.investing.com/news/stock-market-news/tougher-'dark-pool'-rules-trigger-race-for-alternative-venues-437815,0.0
2016-11-22,Deutsche Boerse CEO expects EU objections in mid-December,By Reuters,https://www.investing.com/news/stock-market-news/deutsche-boerse-ceo-expects-eu-objections-in-mid-december-442960,0.0
2016-12-15,Euro clearing may move from London but only after Brexit: source,By Reuters,https://www.investing.com/news/economy-news/euro-clearing-may-move-from-london-but-only-after-brexit:-source-448096,0.0
2016-12-21,LSE Group says markets have more work to do ahead of new trading rules,By Reuters,https://www.investing.com/news/stock-market-news/lse-group-says-markets-have-more-work-to-do-ahead-of-new-trading-rules-449240,0.0
2016-12-30,U.K. stocks higher at close of trade; Investing.com United Kingdom 100 up 0.26%,By Investing.com,https://www.investing.com/news/stock-market-news/u.k.-stocks-higher-at-close-of-trade;-investing.com-united-kingdom-100-up-0.26-450515,0.0
2017-01-03,LSE sells clearing business to Euronext in bid to win merger approval,By Reuters,https://www.investing.com/news/stock-market-news/lse-sells-clearing-business-to-euronext-in-bid-to-win-merger-approval-450812,0.0
2017-01-10,Brexit could put tens of thousands finance jobs at risk: executives,By Reuters,https://www.investing.com/news/stock-market-news/brexit-could-put-tens-of-thousands-finance-jobs-at-risk:-executives-452205,0.0
2017-01-11,Britain's finance industry drops demands for passporting after Brexit,By Reuters,https://www.investing.com/news/stock-market-news/britain's-finance-industry-drops-demands-for-passporting-after-brexit-452597,0.0
2017-01-16,Deutsche Boerse-LSE merger make markets healthier: Blackrock,By Reuters,https://www.investing.com/news/stock-market-news/deutsche-boerse-lse-merger-make-markets-healthier:-blackrock-453446,0.0
2017-01-17,Brexit drives push for bigger Frankfurt role in exchange merger,By Reuters,https://www.investing.com/news/economy-news/brexit-drives-push-for-bigger-frankfurt-role-in-exchange-merger-453714,0.0
2017-01-19,U.K. stocks lower at close of trade; Investing.com United Kingdom 100 down 0.48%,By Investing.com,https://www.investing.com/news/stock-market-news/u.k.-stocks-lower-at-close-of-trade;-investing.com-united-kingdom-100-down-0.48-454392,0.0
2017-01-31,U.K. stocks lower at close of trade; Investing.com United Kingdom 100 down 0.26%,By Investing.com,https://www.investing.com/news/stock-market-news/u.k.-stocks-lower-at-close-of-trade;-investing.com-united-kingdom-100-down-0.26-456938,0.0
2017-02-01,Deutsche Boerse says prosecutors investigating CEO's 2015 share purchase,By Reuters,https://www.investing.com/news/stock-market-news/deutsche-boerse-says-prosecutors-investigate-ceo's-share-purchase-457245,0.0
2017-02-02,Prosecutors investigate Deutsche Boerse CEO for alleged insider trading,By Reuters,https://www.investing.com/news/stock-market-news/prosecutors-confirm-investigating-deutsche-boerse-ceo-for-insider-trading-457366,0.0
2017-02-16,Deutsche Boerse CEO denies insider trading allegations,By Reuters,https://www.investing.com/news/stock-market-news/deutsche-boerse-ceo-says-insider-trading-allegations-will-prove-unfounded-460314,0.0
2017-02-21,"Deutsche Boerse, LSE plan further concession for EU merger approval: sources",By Reuters,"https://www.investing.com/news/stock-market-news/deutsche-boerse,-lse-plan-further-concession-for-eu-merger-approval:-sources-461291",0.0
2017-02-27,LSE shares down 3% as Deutsche Boerse merger in danger,By Investing.com,https://www.investing.com/news/stock-market-news/lse-shares-down-3-as-deutsche-boerse-merger-in-danger-462302,0.0
2017-02-27,"Global stocks mixed, dollar flat as Trump speech eyed",By Investing.com,"https://www.investing.com/news/stock-market-news/global-stocks-mixed,-dollar-flat-as-trump-speech-eyed-462305",0.0
2017-02-27,LSE scuppers Deutsche Boerse merger hopes by rejecting EU demand,By Reuters,https://www.investing.com/news/stock-market-news/lse-says-eu-unlikely-to-approve-deutsche-boerse-merger-462248,0.0
2017-02-27,"European stocks mixed, LSE-Deutsche Boerse merger derailed, DAX up 0.1%",By Investing.com,"https://www.investing.com/news/stock-market-news/european-stocks-mixed,-lse-deutsche-boerse-merger-derailed,-dax-up-0.1-462312",0.0
2017-02-27,Top 5 Things to Know in the Market on Monday,By Investing.com,https://www.investing.com/news/economy-news/top-5-things-to-know-in-the-market-on-monday-462317,0.0
2017-02-27,Top 5 things to watch today,By Investing.com,https://www.investing.com/news/economy-news/top-5-things-to-watch-today-462327,0.0
2017-02-27,"World stocks dip on M&A falling through, Buffett caution",By Reuters,https://www.investing.com/news/stock-market-news/asian-stocks-seen-weak-on-u.s.-cues;-bonds-eyed-462260,0.0
