timestamp,Val,label
2014-08-21,187790,0
2014-08-22,581280,0
2014-08-26,670850,0
2014-08-27,358960,0
2014-08-28,424560,0
2014-08-29,314740,0
2014-09-01,405040,0
2014-09-02,391950,0
2014-09-03,1540000,0
2014-09-04,317260,0
2014-09-05,1610000,0
2014-09-08,536240,0
2014-09-09,684460,0
2014-09-10,557770,0
2014-09-11,1090000,0
2014-09-12,554100,0
2014-09-15,481380,0
2014-09-16,840580,0
2014-09-17,644470,1
2014-09-18,843690,1
2014-09-19,1890000,1
2014-09-22,917960,0
2014-09-23,1510000,0
2014-09-24,564660,0
2014-09-25,573170,0
2014-09-26,752620,0
2014-09-29,809470,0
2014-09-30,788610,0
2014-10-01,832040,0
2014-10-02,720190,0
2014-10-03,842180,0
2014-10-06,623530,0
2014-10-07,645830,0
2014-10-08,1060000,0
2014-10-09,593940,0
2014-10-10,513429,0
2014-10-13,1120000,0
2014-10-14,1480000,1
2014-10-15,1520000,1
2014-10-16,2430000,1
2014-10-17,786900,0
2014-10-20,587640,0
2014-10-21,1040000,0
2014-10-22,622180,0
2014-10-23,638940,0
2014-10-24,451070,0
2014-10-27,446940,0
2014-10-28,497720,0
2014-10-29,842570,0
2014-10-30,1460000,0
2014-10-31,860560,0
2014-11-03,630350,0
2014-11-04,577590,0
2014-11-05,591540,0
2014-11-06,631460,0
2014-11-07,812580,0
2014-11-10,678130,0
2014-11-11,445640,0
2014-11-12,580180,0
2014-11-13,1270000,0
2014-11-14,626630,0
2014-11-17,325120,0
2014-11-18,261170,0
2014-11-19,518760,0
2014-11-20,384780,0
2014-11-21,597000,0
2014-11-24,874390,0
2014-11-25,1010000,0
2014-11-26,586240,0
2014-11-27,540420,0
2014-11-28,658230,0
2014-12-01,707970,0
2014-12-02,440830,0
2014-12-03,2260000,0
2014-12-04,856960,0
2014-12-05,713290,0
2014-12-08,424510,0
2014-12-09,774110,0
2014-12-10,701340,0
2014-12-11,609010,0
2014-12-12,622620,0
2014-12-15,599760,0
2014-12-16,849230,0
2014-12-17,563570,0
2014-12-18,905060,0
2014-12-19,1720000,0
2014-12-22,349330,1
2014-12-23,237460,1
2014-12-24,79510,1
2014-12-29,303370,1
2014-12-30,209980,1
2014-12-31,113000,1
2015-01-02,278970,0
2015-01-05,560230,0
2015-01-06,474110,0
2015-01-07,571130,0
2015-01-08,548730,0
2015-01-09,460840,0
2015-01-12,439890,0
2015-01-13,536710,0
2015-01-14,512100,0
2015-01-15,797610,0
2015-01-16,3540000,0
2015-01-19,459860,0
2015-01-20,594940,0
2015-01-21,419010,0
2015-01-22,659500,0
2015-01-23,525680,0
2015-01-26,367000,0
2015-01-27,513799,0
2015-01-28,439580,0
2015-01-29,653650,0
2015-01-30,556370,0
2015-02-02,673280,0
2015-02-03,586920,0
2015-02-04,542740,0
2015-02-05,240500,0
2015-02-06,413010,0
2015-02-09,456580,0
2015-02-10,462590,0
2015-02-11,542150,0
2015-02-12,650670,0
2015-02-13,409290,0
2015-02-16,429300,0
2015-02-17,683050,0
2015-02-18,938790,0
2015-02-19,354520,0
2015-02-20,380360,0
2015-02-23,428400,0
2015-02-24,562460,0
2015-02-25,342940,0
2015-02-26,396740,0
2015-02-27,604390,0
2015-03-02,585760,0
2015-03-03,566050,0
2015-03-04,703220,0
2015-03-05,1040000,0
2015-03-06,858260,0
2015-03-09,776450,0
2015-03-10,903060,0
2015-03-11,430300,0
2015-03-12,438230,0
2015-03-13,452460,0
2015-03-16,384770,0
2015-03-17,522850,0
2015-03-18,646360,1
2015-03-19,463980,1
2015-03-20,738650,1
2015-03-23,351260,0
2015-03-24,350910,0
2015-03-25,413310,0
2015-03-26,8180000,0
2015-03-27,2390000,0
2015-03-30,5140000,0
2015-03-31,2350000,0
2015-04-01,1460000,0
2015-04-02,860740,0
2015-04-07,5670000,0
2015-04-08,1670000,0
2015-04-09,1070000,0
2015-04-10,1040000,0
2015-04-13,596320,0
2015-04-14,771920,0
2015-04-15,618910,0
2015-04-16,741280,0
2015-04-17,1030000,0
2015-04-20,382660,0
2015-04-21,655200,0
2015-04-22,855480,0
2015-04-23,715050,0
2015-04-24,720650,0
2015-04-27,753840,0
2015-04-28,889670,0
2015-04-29,901610,0
2015-04-30,1250000,0
2015-05-01,379820,0
2015-05-05,1290000,0
2015-05-06,1390000,1
2015-05-07,2009999,1
2015-05-08,1820000,1
2015-05-11,614180,0
2015-05-12,1390000,0
