"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 16, 2017","118.87","118.48","119.01","118.44","-","0.71%"
"Aug 15, 2017","118.03","117.71","118.26","117.53","-","0.50%"
"Aug 14, 2017","117.44","117.07","117.82","116.83","-","0.63%"
"Aug 11, 2017","116.71","116.85","117.19","116.52","-","-1.18%"
"Aug 10, 2017","118.10","119.08","119.30","117.87","-","-1.58%"
"Aug 09, 2017","119.99","120.20","120.39","119.35","-","-0.70%"
"Aug 08, 2017","120.84","120.47","120.98","120.41","-","0.12%"
"Aug 07, 2017","120.69","120.51","120.73","120.41","-","0.29%"
"Aug 04, 2017","120.34","119.60","120.44","119.60","-","0.57%"
"Aug 03, 2017","119.66","118.28","119.81","118.14","-","0.90%"
"Aug 02, 2017","118.59","119.04","119.04","118.25","-","-0.30%"
"Aug 01, 2017","118.95","118.63","119.22","118.47","-","0.71%"
"Jul 31, 2017","118.11","118.60","119.13","118.07","-","-0.03%"
"Jul 28, 2017","118.14","118.85","119.06","117.60","-","-1.09%"
"Jul 27, 2017","119.44","119.64","119.77","119.10","-","-0.28%"
"Jul 26, 2017","119.77","119.67","120.44","119.67","-","0.16%"
"Jul 25, 2017","119.58","118.84","119.92","118.84","-","0.86%"
"Jul 24, 2017","118.56","119.60","119.60","118.27","-","-0.95%"
"Jul 21, 2017","119.70","120.17","120.70","119.43","-","-0.45%"
"Jul 20, 2017","120.24","119.54","120.54","119.54","-","0.74%"
"Jul 19, 2017","119.36","118.98","119.55","118.50","-","0.58%"
"Jul 18, 2017","118.67","118.74","119.18","118.21","-","-0.29%"
"Jul 17, 2017","119.02","118.84","119.40","118.78","-","0.34%"
"Jul 14, 2017","118.62","119.21","119.22","118.38","-","-0.45%"
"Jul 13, 2017","119.16","119.30","119.54","119.07","-","-0.13%"
"Jul 12, 2017","119.32","118.24","119.68","118.24","-","1.30%"
"Jul 11, 2017","117.79","118.49","118.68","117.42","-","-0.54%"
"Jul 10, 2017","118.43","118.62","118.71","117.99","-","0.30%"
"Jul 07, 2017","118.08","117.72","118.23","117.50","-","0.23%"
"Jul 06, 2017","117.81","118.33","118.44","117.32","-","-0.42%"
"Jul 05, 2017","118.31","118.10","118.53","117.88","-","0.21%"
"Jul 04, 2017","118.06","117.97","118.50","117.83","-","-0.43%"
"Jul 03, 2017","118.57","117.59","118.70","117.59","-","1.00%"
"Jun 30, 2017","117.40","117.94","118.46","117.26","-","-0.54%"
"Jun 29, 2017","118.04","119.29","119.61","117.96","-","-0.40%"
"Jun 28, 2017","118.51","118.98","119.44","118.41","-","-0.68%"
"Jun 27, 2017","119.32","119.51","119.60","118.98","-","-0.19%"
"Jun 26, 2017","119.55","119.48","120.10","119.48","-","0.40%"
"Jun 23, 2017","119.07","119.10","119.39","118.68","-","-0.29%"
"Jun 22, 2017","119.42","119.19","119.52","118.70","-","-0.05%"
"Jun 21, 2017","119.48","119.86","119.86","118.95","-","-0.27%"
